,name,address,latitude,longitude,categories
0,Nubeluz,"25 W 28TH St (Broadway), New York, NY 10001",40.74563,-73.988879,Cocktail Bar
1,Patent Pending,"49 W 27th St (btwn Broadway & 6th Ave), New York, NY 10001",40.745324,-73.990221,Cocktail Bar
2,The Flatiron Room,"37 W 26th St (btwn Broadway & 6th Ave), New York, NY 10010",40.744565,-73.990366,Cocktail Bar
3,Oscar Wilde,"45 W 27th St, New York, NY 10001",40.745223,-73.989955,Cocktail Bar
4,The Smith,"1150 Broadway (at W 27th St), New York, NY 10001",40.744231,-73.988737,Cocktail Bar
5,Ms Kimâ€™s,"6 W 28th St (btwn Broadway & 5th Ave), New York, NY 10001",40.744732,-73.988188,Karaoke Bar
6,The Fleur Room,"105 W 28th St (6th Ave), New York, NY 10001",40.746491,-73.990965,Cocktail Bar
7,Cote,"16 W 22nd St (btw 5th & 6th Ave), New York, NY 10010",40.741195,-73.991281,Cocktail Bar
8,Thyme,"20 W 23rd St, New York, NY 10010",40.741755,-73.990517,Cocktail Bar
9,Il Fiorista Nomad,"17 W 26th St, New York, NY 10010",40.74421,-73.989522,Cocktail Bar
